EMP_CD,START_DATE,CLASS_CD
1280716,2017/8/27 0:00:00,"317,317,317,317,317,317,317,317,317,317,317,317,317,317,317,"
1280723,2017/8/27 0:00:00,"124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,"
1280731,2017/8/27 0:00:00,"115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,"
1280732,2017/8/27 0:00:00,"305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,"
1280734,2017/8/27 0:00:00,"305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,"
1280740,2017/8/27 0:00:00,"108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,"
1280744,2017/8/27 0:00:00,"124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,"
1280745,2017/8/27 0:00:00,"305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,"
1280765,2017/8/27 0:00:00,"312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,"
1280773,2017/8/27 0:00:00,"305,305,305,305,305,305,305,305,305,305,305,305,305,305,305,"
1280783,2017/8/27 0:00:00,"313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,"
1280918,2017/8/27 0:00:00,"113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,"
1280919,2017/8/27 0:00:00,"305,305,305,305,305,305,305,305,113,113,113,113,113,113,113,"
1280923,2017/8/27 0:00:00,"114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,"
